### MDS_metrics-bray-species_profiles_pneumonia.csv

"","SampleID","Axis.1","Axis.2","SamplingSite"
"186","Sample327",0.132737871458356,-0.146213700046922,"Hospital-B"
"187","Sample328",-0.0182276085341484,0.343656162266488,"Hospital-B"
"188","Sample329",0.067232148093562,0.324249693919581,"Hospital-B"
"189","Sample33",0.155442297260438,-0.171804030027137,"Hospital-A"
"190","Sample330",0.279941598258528,-0.305684972023296,"Hospital-B"
"191","Sample331",0.458133590874427,0.416915999607918,"Hospital-B"
"192","Sample332",0.458321388056534,0.420143633084989,"Hospital-B"
"193","Sample333",0.173924650441064,-0.312228667545204,"Hospital-B"
"194","Sample334",0.455560967510934,0.421075166581169,"Hospital-B"
"195","Sample338",0.296369357480545,0.437277795226096,"Hospital-B"
"196","Sample339",0.232881051221177,-0.444568014995981,"Hospital-B"
"197","Sample34",0.169209411241726,-0.206120012392966,"Hospital-A"
"198","Sample340",-0.0564240725699926,-0.299580555600718,"Hospital-B"
"199","Sample341",0.227091488889884,-0.426557699251344,"Hospital-B"
"200","Sample342",0.230802124919358,-0.440661074944858,"Hospital-B"
"201","Sample343",-0.368155883832862,0.0374450928883952,"Hospital-B"
"202","Sample344",0.00316392510768366,-0.102694748416648,"Hospital-B"
"203","Sample345",0.168074182838186,-0.178430870284174,"Hospital-B"
"204","Sample346",-0.481180366187404,0.0863803055649059,"Hospital-B"
"205","Sample347",-0.481463834330473,0.0866504985115246,"Hospital-B"
"206","Sample348",-0.478129275089598,0.0826132753749253,"Hospital-B"
"207","Sample349",-0.479476539120302,0.0882350174262366,"Hospital-B"
"208","Sample35",0.143884021224697,-0.345178314214431,"Hospital-A"
"209","Sample350",-0.410139580818483,0.0519887131533276,"Hospital-B"
"210","Sample351",0.436201426720806,0.423248127728503,"Hospital-B"
"211","Sample352",-0.481463834330473,0.0866504985115251,"Hospital-B"
"212","Sample353",-0.476754698139955,0.0889667434781733,"Hospital-B"
"213","Sample354",-0.480914065102028,0.0854660991758197,"Hospital-B"
"214","Sample355",-0.27667086570454,0.0194312745879029,"Hospital-B"
"215","Sample357",-0.481332972895429,0.085842132356968,"Hospital-B"
"216","Sample36",0.183106223693122,-0.24793562199782,"Hospital-A"
"217","Sample360",0.12903823640546,-0.15946744698109,"Hospital-B"
"218","Sample363",0.182847744672548,-0.329470905115943,"Hospital-B"
"219","Sample364",0.182625696916228,-0.326761666133628,"Hospital-B"
"220","Sample365",0.219040998189078,-0.426259435624787,"Hospital-B"
"221","Sample366",-0.0849996183909421,-0.194271764347133,"Hospital-B"
"222","Sample367",0.174416905651314,-0.305820623332133,"Hospital-B"
"223","Sample368",0.232287928099118,-0.442611469235111,"Hospital-B"
"224","Sample369",0.325924243481795,-0.0739926027728062,"Hospital-B"
"225","Sample37",0.196013914285968,-0.288778984998705,"Hospital-A"
"226","Sample370",-0.413577594029148,0.0569674828240368,"Hospital-B"
"227","Sample371",-0.458886588352296,0.0439488362617379,"Hospital-B"
"228","Sample372",-0.476899243510823,0.0770954457139027,"Hospital-B"
"229","Sample379",0.0856271809669405,0.466585410591896,"Hospital-B"
"230","Sample38",0.164636535573026,-0.192329266951746,"Hospital-A"
"231","Sample380",0.0882443992931028,0.466544808724373,"Hospital-B"
"232","Sample383",0.223015648809205,-0.435312244077551,"Hospital-B"
"233","Sample385",-0.243581928952739,-0.00764783559620933,"Hospital-B"
"234","Sample387",0.26648375930394,0.454491310584738,"Hospital-B"
"235","Sample388",0.458321388056534,0.42014363308499,"Hospital-B"
"236","Sample389",0.4562744376425,0.415284041891448,"Hospital-B"
"237","Sample39",0.23946096100036,-0.437800425270879,"Hospital-A"
"238","Sample390",0.458321388056534,0.420143633084989,"Hospital-B"
"239","Sample391",-0.480494501168166,0.084358386050302,"Hospital-B"
"240","Sample392",-0.203828128745312,-0.0191823979358438,"Hospital-B"
"241","Sample393",0.075765353791469,-0.132851359997943,"Hospital-B"
"242","Sample394",0.00766244396117375,-0.0984712015579856,"Hospital-B"
"243","Sample395",0.18041161508269,-0.273960765338965,"Hospital-B"
"244","Sample396",0.139138860513646,-0.13774575633729,"Hospital-B"
"245","Sample397",-0.481463834330473,0.0866504985115251,"Hospital-B"
"246","Sample398",-0.479744607777988,0.0880440379759203,"Hospital-B"
"247","Sample399",-0.455021594870715,0.069335120006223,"Hospital-B"
"248","Sample4",0.232875453397069,-0.443933442769067,"Hospital-A"
"249","Sample40",0.209783436897652,-0.320430405606071,"Hospital-A"
"250","Sample400",0.168053517892003,-0.1783233578487,"Hospital-B"
"251","Sample401",0.168068899751152,-0.178341856003683,"Hospital-B"
"252","Sample402",0.122508213571561,-0.145494665629157,"Hospital-B"
"253","Sample403",-0.467615508635555,0.0766124589481482,"Hospital-B"
"254","Sample404",-0.481209097677083,0.0865530426000379,"Hospital-B"
"255","Sample405",-0.481263054575203,0.0868704424402585,"Hospital-B"
"256","Sample41",0.274641410843699,-0.36920221020527,"Hospital-A"
"257","Sample410",0.0470560656511184,-0.105949231051311,"Hospital-B"
"258","Sample42",0.234150586044747,-0.447091349905052,"Hospital-A"
"259","Sample420",0.134587301976352,-0.167727447875261,"Hospital-B"
"260","Sample421",-0.481463834330473,0.0866504985115246,"Hospital-B"
"261","Sample422",0.125919480297333,-0.163794122335586,"Hospital-B"
"262","Sample423",0.13993640517378,0.460176161764727,"Hospital-B"
"263","Sample424",-0.149267487126335,0.41572021679028,"Hospital-B"
"264","Sample429",-0.477916867824033,0.0855133705544228,"Hospital-C"
"265","Sample430",-0.481463834330473,0.0866504985115244,"Hospital-C"
"266","Sample431",0.199202111144463,-0.335596415920759,"Hospital-C"
"267","Sample432",0.320610506841992,0.300138897335989,"Hospital-C"
"268","Sample433",0.17398617201375,-0.324111327963489,"Hospital-C"
"269","Sample434",0.182823059771915,-0.329315214023309,"Hospital-C"
"270","Sample435",0.22536187701829,-0.0732433402743059,"Hospital-C"
"271","Sample436",0.454012177426077,0.414605979552678,"Hospital-C"
"272","Sample437",0.232493771878272,-0.442166715164481,"Hospital-C"
"273","Sample439",0.341381990645783,-0.0423183326442755,"Hospital-C"
